DOX_TAM	DOX	TAM
ENSMUSG00000104217	Rp1	A830018L16Rik
St18	St18	Prdm14
Pcmtd1	Cpa6	Trpa1
Cpa6	Prex2	Kcnb2
A830018L16Rik	Prdm14	Efhc1
Prdm14	Gsta3	Kcnq5
Msc	4931428L18Rik	Col9a1
Trpa1	Zap70	Ptpn18
Kcnb2	Vwa3b	Cfc1
Gsta3	Lonrf2	Hs6st1
Kcnq5	Rfx8	Cracdl
Rims1	Tmeff2	Creg2
4931428L18Rik	1700019D03Rik	Rfx8
Cfc1	Dnah7a	Gpr45
Prss40	Pgap1	Tmeff2
Hs6st1	Flacc1	Hecw2
Zap70	Fzd5	Pgap1
Lonrf2	Marchf4	Ankrd44
Rfx8	Prss56	Spats2l
Il1r1	Chrnd	Aox4
Tmeff2	Efhd1	Aox2
Stat4	Trpm8	Fzd5
1700019D03Rik	Gbx2	ENSMUSG00000102140
Dnah7a	Iqca	Spag16
Pgap1	Rnf152	Igfbp5
Aox1	Tfcp2l1	Cdk5r2
Aox3	Inhbb	Epha4
Aox4	Lemd1	Pax3
Aox2	Ptprc	Fam124b
Cd28	Cfh	Sphkap
ENSMUSG00000102536	Nmnat2	Sp100
Fzd5	Cacna1e	Chrnd
ENSMUSG00000102140	Fmo1	Efhd1
Unc80	Dusp27	Slco4c1
Rpe	Gpa33	Cdh20
Spag16	Fcgr2b	Rnf152
Fn1	Fcgr3	Tnfrsf11a
Mreg	Cd244a	Cfap221
Marchf4	Parp1	Dpp10
Inha	Lefty2	Tmem163
Epha4	Pycr2	Cd55
Fam124b	Lefty1	Tmcc2
Dock10	Tmem63a	Cntn2
Sp100	Cnih3	Fmod
Prss56	Atf3	Syt2
Chrnd	Syne1	Kif21b
Chrng	Grm1	Mroh3
Inpp5d	Pde7b	Inava
Trpm8	Myb	Cfh
Iqca	Themis	Brinp3
ENSMUSG00000103292	Soga3	Pla2g4a
Crocc2	Nkain2	Hmcn1
Slco4c1	Slc35f1	Rgs8
Cdh20	Aire	Rnasel
Rnf152	Cnn2	BC034090
Serpinb3b	ENSMUSG00000112790	ENSMUSG00000102789
Cntnap5a	Rfx4	Astn1
Tfcp2l1	1700113H08Rik	Fmo1
Gli2	Spic	Gpr161
Dpp10	Slc5a8	Tada1
Cd55	Nr1h4	Pbx1
Rab29	Anks1b	Pcp4l1
Tmcc2	Hal	Opn3
Dstyk	Socs2	Itpkb
Rbbp5	Mgat4c	Stum
Tmem81	Olfr814	Pycr2
Cntn2	Camk2b	Lefty1
Lrrn2	Upp1	Tmem63a
Fmod	Cobl	Spata17
Kdm5b	Vstm2a	Prox1
Syt2	Ccdc85a	Atf3
Pkp1	Gabrb2	Kcnh1
Cacna1s	Adra1b	Hhat
Mroh3	Slc47a1	A730013G03Rik
Inava	Shisa6	Sertad4
Cfh	Pirt	Plxna2
Kcnt2	Ntn1	Syne1
Brinp3	Tnfsfm13	Plagl1
Pla2g4a	Asgr2	Arfgef3
Ptgs2	Slc13a5	Pde7b
Hmcn1	Xaf1	Myb
Nmnat2	Smtnl2	Sgk1
Rnasel	Spns3	Vnn1
Cacna1e	Coro6	Taar2
ENSMUSG00000102789	Ccl1	Moxd1
Astn1	Hnf1b	Ccn2
Pappa2	Ankfn1	Trdn
Fmo1	Hlf	Rsph4a
Atp1b1	Car10	Trappc3l
Gpa33	Copz2	Fig4
Pbx1	Jup	Ak9
Ddr2	Gm11627	Smpd2
Cfap126	ENSMUSG00000040838	Ppil6
Slamf6	Kcnf1	Grik2
Nhlh1	Dcdc2c	Serinc1
Crp	Tpo	Pkib
Spta1	Hdac9	Smpdl3a
Itpkb	Dgkb	Hk1
Stum	Etv1	Cabcoco1
Parp1	Npas3	Mrln
Lefty2	Six1	Rsph14
Pycr2	Syt16	Pdxk
Lefty1	Tex21	Slc1a6
Tmem63a	Rgs6	C2cd4c
Ephx1	Dglucy	Shc2
Enah	Serpina3i	Odf3l2
Spata17	Tcl1	Misp
Hhat	Mok	Gpx4
Lamb3	Akr1c21	Slc41a2
Syne1	Aoah	X1700113H08Rik
Oprm1	Cdyl	Chpt1
Plagl1	Shc3	Spic
Adgrg6	Eif4e1b	Lrriq1
Txlnb	Rasgrf2	Slc6a15
Arfgef3	Fst	Trhde
Myb	Gm2897	Wif1
Sgk1	D830030K20Rik	Slc16a7
Semp2l2b	ENSMUSG00000096793	Lrig3
Eya4	Gm5796	Kif5a
Ccn2	Gm8108	Lrp1
Ptprk	Gm2974	Suox
Nkain2	ENSMUSG00000091418	Emid1
Trdn	Gm3173	Gm11992
Clvs2	ENSMUSG00000090707	Ikzf1
Rsph4a	ENSMUSG00000091275	Cobl
Trappc3l	ENSMUSG00000091568	Efemp1
Fig4	Gm3411	ENSMUSG00000073052
Ak9	Gm10406	Slit3
Zbtb24	Gm3696	Sgcd
Mical1	Gm3558	Irf1
Smpd2	Fhit	Slc22a4
Ppil6	Gm2237	Pdlim4
Grik2	Nid2	Gpx3
Serinc1	Wdfy4	Tnip1
Pkib	Fam25c	Anxa6
Smpdl3a	Sncg	Ccdc69
Chst3	Cdhr1	Slc36a3
Slc29a3	Gm2832	Fat2
Nodal	1700024B05Rik	Gria1
Srgn	Gm9732	Fam183b
Tet1	Gm21154	H2bu2
Pbld1	Ptger2	Kcnj12
Mypn	Zfhx2	Fbxw10
Cabcoco1	Tdh	Myocd
Mrln	Dock5	Myh13
Pcdh15	Tnfsf11	Pik3r6
Aire	Klf5	Gucy2e
Dnmt3l	Gm5089	Sat2
Pdxk	Zic5	Zbtb4
Vmn2r82	Zic2	Chrnb1
C2cd4c	Fgf14	Ybx2
Misp	Ugt3a2	Alox12e
Gadd45b	Cdh18	Xaf1
Rfx4	Kcns2	Smtnl2
Bpifc	Dpys	Spns3
1700113H08Rik	Zfpm2	Rflnb
Mybpc1	Angpt1	Sez6
Spic	Sntb1	Rab11fip4
Ano4	Myc	Adap2
Hal	Hhla1	Rnf135
Mgat4c	Adgrb1	Asic2
Slc6a15	Mroh4	Ypel2
Ptprq	Cacng2	Rad51c
Pawr	ENSMUSG00000116283	Tspoap1
Syt1	Grap2	Elobl
Csrp2	Rapgef3	Ankfn1
Trhde	Hdac7	Hlf
Irak3	Rarg	Mycbpap
Lrig3	Sp7	Calcoco2
Marchf9	Kng2	Ttll6
Dtx3	Masp1	Copz2
Pip4k2c	Apod	Srcin1
Kif5a	Meltf	Thra
Arhgap9	Adcy5	Nags
Gli1	Sema5b	Adam11
Lrp1	Cd200	Wnt9b
Sdr9c7	Myh15	Wnt3
Baz2a	Htr1f	Cacng4
Vmn2r84	Cadm2	Cacng5
Ankrd36	Samsn1	Apoh
Camk2b	Ncam2	Arsg
Adcy1	Jam2	Wipi1
Upp1	Grik1	Map2k6
Abca13	Hunk	Trim47
Vwc2	Dscam	Timp2
