name	cluster
Rgs20	1
Sulf1	2
Prdm14	2
Sema4c	3
Vwa3b	1
Aff3	2
Slc40a1	1
Adam23	4
Fzd5	2
Catip	5
Tuba4a	1
A630095N17Rik	5
Ccl20	1
Gbx2	1
En1	5
Tmem163	2
ENSMUSG00000101904	1
Lemd1	2
Mgat4f	1
Lgr6	1
Ptgs2	1
Glul	2
Dusp27	2
Gpa33	2
Tada1	1
Fcgr2b	5
Lefty1	1
Vmn1r1	5
Tlr5	5
Kcnh1	2
Sertad4	1
Eya4	1
Ccn2	3
Enpp3	2
Themis	1
Soga3	2
ENSMUSG00000110723	1
Hint3	3
Hs3st5	1
Ak9	3
Slc35f1	1
Dnmt3l	1
Slc41a2	3
Rfx4	1
Spic	1
Plxnc1	3
Cradd	2
Slc6a15	3
Kcnc2	1
Myrfl	1
ENSMUSG00000103213	5
Wif1	1
Nab2	3
Cobl	4
Ebf1	2
Slc22a4	1
Hand1	3
Hs3st3a1	1
Ntn1	2
Xaf1	3
Trpv3	1
Rflnb	3
Mmp28	1
Ankfn1	1
Itga3	2
Hoxb13	5
Igfbp4	1
Cavin1	1
Sost	1
Tcam1	5
Card14	5
Efr3b	2
Cyria	2
Lratd1	5
Sox11	3
Baz1a	2
Ttc9	1
Dpf3	3
Zdhhc22	5
Itpk1	4
Hhipl1	1
Eml1	3
Tnfaip2	1
Serpinb1b	1
Rbm24	1
S1pr3	1
Zfp459	4
Cmya5	1
F2rl1	2
Fam169a	4
Shisal2b	1
Itga1	3
Cadps	3
Gng2	2
Plau	5
Cacna2d3	2
Vstm4	1
Fam25c	1
Sncg	1
Gm3072	5
ENSMUSG00000079269	5
Gm8094	5
Gm8104	5
Gm9732	1
ENSMUSG00000095743	5
Gm7324	5
Gm21154	1
Ptger2	1
Ccnb1ip1	4
Il17d	1
Fam167a	1
Pebp4	1
Egr3	1
Slc39a14	2
Bmp1	3
Enox1	2
Tnfsf11	5
Pcdh17	5
Klf12	4
Zic2	1
Cdh9	1
Fbxo32	1
Myc	2
Mroh4	5
Arc	3
Mroh6	1
Naprt	1
Fam83h	2
Slc39a4	1
Cacng2	1
Cdc42ep1	1
Lgals2	5
Sult4a1	3
Gramd4	2
Mapk11	1
Nell2	1
Itgb7	3
Rarg	2
Gm9918	1
Spag6l	1
Scarf2	1
Liph	1
Adipoq	5
Slc12a8	2
Sema5b	2
Parp9	3
Cfap91	3
Pla1a	1
Cd80	2
Tmem30c	1
Jam2	4
Eva1c	1
ENSMUSG00000116836	5
Ripply3	5
Fndc1	1
T	1
Mslnl	5
Msln	5
Def6	2
Myo1f	1
Prrt1	5
Mdfi	1
Lrfn2	1
Nlrc4	1
Rasgrp3	1
Qpct	1
Cdc42ep3	3
Gata6	1
Lama3	1
Cdh2	2
Dsc2	3
Bin1	2
Wnt8a	5
Mcc	2
Pde6a	1
Pmaip1	2
Cidea	3
Mapk4	2
Katnal2	2
Rbfa	3
Slc66a2	3
Fbxo15	4
Clcf1	1
Rasgrp2	1
Rab3il1	1
Myrf	3
Slc15a3	5
Trpm6	1
Tmc1	1
Cyp26a1	1
Opalin	5
Calhm3	1
Adrb1	1
Gfra1	3
Optn	1
Malrd1	2
Pax8	1
Ptgs1	1
Dpp4	2
Osbpl6	3
Ttn	3
Chst1	5
Syt13	1
Fjx1	1
Ehf	5
D430041D05Rik	1
Tmco5	5
Acoxl	1
Tgm3	1
Srxn1	2
Procr	1
Tox2	1
Mmp9	1
Cass4	1
Lrrc31	3
Spry1	2
ENSMUSG00000106062	1
Frem2	1
Sertm1	1
Arhgef26	2
Mme	4
ENSMUSG00000087610	5
Ankrd35	3
Zfp697	3
Vtcn1	5
Ppm1j	1
Slc6a17	1
Sypl2	5
Lef1	1
Sgms2	2
Slc9b2	1
Manba	4
Runx1t1	1
Cga	5
Ddx58	1
Aqp3	3
Npr2	1
Tlr4	1
Bnc2	4
Cyp2j7	5
Patj	2
Dab1	2
Edn2	5
Rhbdl2	1
Zc3h12a	2
Dlgap3	2
Gja4	1
Trim62	1
Tinagl1	3
Lin28a	2
Slc30a2	2
Fam131c	1
Tnfrsf8	1
Zfp600	2
ENSMUSG00000086147	1
ENSMUSG00000078497	1
Zfp979	2
Zfp534	1
Slc2a7	5
Errfi1	2
Steap4	1
Cnpy1	2
Plb1	1
Slc5a1	5
Fam114a1	2
Tmem156	1
Chrna9	1
Kctd8	1
Nipal1	1
Odaph	5
Naaa	1
Hpse	1
Sez6l	1
Nos1	3
Lhx5	5
Setd1b	4
Tmem132d	2
Cyp3a13	5
Samd9l	1
Mdfic	2
ENSMUSG00000108046	5
Tspan12	3
Tmem229a	5
Akr1b3	2
Akr1b8	1
Arhgef5	1
Npy	5
Evx1	5
Fam13a	2
Hmces	2
Iqsec1	4
Trh	3
Plxnd1	1
Rasgef1a	1
Zfp9	1
Nanog	4
Clec1a	5
Gsg1	1
Rerg	3
Eps8	2
Shisa7	3
Epp13	2
Ceacam20	5
Zfp428	2
Tgfb1	1
Nlrp9c	3
Nlrp4a	1
Cyp2b23	1
Acp7	1
Aplp1	1
Kirrel2	1
Nphs1	2
Fxyd5	1
Zfp819	1
Klk10	5
Lrrc4b	1
Cd37	1
Kcnc1	1
Peg12	1
Aldh1a3	1
Mctp2	4
Slc28a1	1
Insc	5
Tmc5	1
Abca14	1
Spn	5
Mylpf	1
Septin1	2
Zfp553	2
Utf1	1
Pkp3	1
Sigirr	1
ENSMUSG00000115302	1
Efnb2	2
Zmat4	3
Zfp703	3
Adrb3	2
Vegfc	2
Tmem59l	5
Crlf1	1
Klf2	2
Pou4f2	1
Nkd1	1
Adgrg1	1
Hsf4	5
Nol3	1
Exoc3l	1
E2f4	2
Smpd3	2
Nudt7	1
Cdyl2	4
Osgin1	5
Slc35f3	1
Nrp1	1
Fut4	5
Olfm2	2
Robo4	3
Olfr924	5
AW551984	5
Clmp	2
ENSMUSG00000111129	5
Abcg4	5
Scn4b	1
Fxyd2	3
Sema7a	3
Hcn4	1
Skor1	5
Dapk2	1
Aph1b	1
Adam10	4
Onecut1	1
Hcrtr2	1
Htr1b	5
Prss35	3
Tbx18	3
Nt5e	1
Dipk2a	2
Slc35g2	1
Hyal2	1
Itga9	2
Myrip	1
Entpd3	1
Porcn	1
Cybb	1
Tenm1	1
Tm9sf5	1
Sox3	5
Nr0b1	2
Fndc3c1	1
Ripply1	5
Morc4	3
Mid2	3
Egfl6	1
