DOX_TAM	DOX	TAM
ENSMUSG00000104217	Rp1	A830018L16Rik
St18	St18	Prdm14
Pcmtd1	Cpa6	Trpa1
Cpa6	Prex2	Kcnb2
A830018L16Rik	Prdm14	Efhc1
Prdm14	Gsta3	Kcnq5
Msc	4931428L18Rik	Col9a1
Trpa1	Zap70	Ptpn18
Kcnb2	Vwa3b	Cfc1
Gsta3	Lonrf2	Hs6st1
Kcnq5	Rfx8	2010300C02Rik
Rims1	Tmeff2	Creg2
4931428L18Rik	1700019D03Rik	Rfx8
Cfc1	Dnah7a	Gpr45
Prss40	Pgap1	Tmeff2
Hs6st1	Flacc1	Hecw2
Zap70	Fzd5	Pgap1
Lonrf2	March4	Ankrd44
Rfx8	Prss56	Spats2l
Il1r1	Efhd1	Aox4
Tmeff2	Trpm8	Aox2
Stat4	Gbx2	Fzd5
1700019D03Rik	Iqca	ENSMUSG00000102140
Dnah7a	Rnf152	Spag16
Pgap1	Tfcp2l1	Igfbp5
Aox1	Inhbb	Cdk5r2
Aox3	Lemd1	Epha4
Aox4	Ptprc	Pax3
Aox2	Cfh	Fam124b
Cd28	Nmnat2	Sphkap
ENSMUSG00000102536	Cacna1e	Sp100
Fzd5	Fmo1	Chrnd
ENSMUSG00000102140	Dusp27	Efhd1
Unc80	Gpa33	Slco4c1
Rpe	Fcgr2b	Cdh20
Spag16	Fcgr3	Rnf152
Fn1	Cd244a	Tnfrsf11a
Mreg	Parp1	Cfap221
March4	Lefty2	Dpp10
Inha	Pycr2	Tmem163
Epha4	Lefty1	Cd55
Fam124b	Tmem63a	Tmcc2
Dock10	Cnih3	Cntn2
Sp100	Atf3	Fmod
Prss56	Syne1	Syt2
Chrnd	Grm1	Kif21b
Chrng	Pde7b	Mroh3
Inpp5d	Myb	Inava
Trpm8	Themis	Cfh
Iqca	Soga3	Brinp3
ENSMUSG00000103292	Nkain2	Pla2g4a
Crocc2	Slc35f1	Hmcn1
Slco4c1	Aire	Rgs8
Cdh20	Cnn2	Rnasel
Rnf152	ENSMUSG00000112790	BC034090
Serpinb3b	Rfx4	ENSMUSG00000102789
Cntnap5a	1700113H08Rik	Astn1
Tfcp2l1	Spic	Fmo1
Gli2	Slc5a8	Gpr161
Dpp10	Nr1h4	Tada1
Cd55	Anks1b	Pbx1
Rab29	Hal	Pcp4l1
Tmcc2	Socs2	Opn3
Dstyk	Mgat4c	Itpkb
Rbbp5	Olfr814	Stum
Tmem81	Camk2b	Pycr2
Cntn2	Upp1	Lefty1
Lrrn2	Cobl	Tmem63a
Fmod	Vstm2a	Spata17
Kdm5b	Ccdc85a	Prox1
Syt2	Gabrb2	Atf3
Pkp1	Adra1b	Kcnh1
Cacna1s	Slc47a1	Hhat
Mroh3	Shisa6	A730013G03Rik
Inava	Pirt	Sertad4
Cfh	Ntn1	Plxna2
Kcnt2	Tnfsfm13	Syne1
Brinp3	Asgr2	Plagl1
Pla2g4a	Slc13a5	Arfgef3
Ptgs2	Xaf1	Pde7b
Hmcn1	Smtnl2	Myb
Nmnat2	Spns3	Sgk1
Rnasel	Coro6	Vnn1
Cacna1e	Ccl1	Taar2
ENSMUSG00000102789	Hnf1b	Moxd1
Astn1	Ankfn1	Ccn2
Pappa2	Hlf	Trdn
Fmo1	Car10	Rsph4a
Atp1b1	Copz2	Trappc3l
Gpa33	Jup	Fig4
Pbx1	Gm11627	Ak9
Ddr2	ENSMUSG00000040838	Smpd2
Cfap126	Kcnf1	Ppil6
Slamf6	Dcdc2c	Grik2
Nhlh1	Tpo	Serinc1
Crp	Hdac9	Pkib
Spta1	Dgkb	Smpdl3a
Itpkb	Etv1	Hk1
Stum	Npas3	Cabcoco1
Parp1	Six1	Mrln
Lefty2	Syt16	Rsph14
Pycr2	Tex21	Pdxk
Lefty1	Rgs6	Slc1a6
Tmem63a	Dglucy	C2cd4c
Ephx1	Serpina3i	Shc2
Enah	Tcl1	Odf3l2
Spata17	Mok	Misp
Hhat	Akr1c21	Gpx4
Lamb3	Aoah	Slc41a2
Syne1	Cdyl	1700113H08Rik
Oprm1	Shc3	Chpt1
Plagl1	Eif4e1b	Spic
Adgrg6	Rasgrf2	Lrriq1
Txlnb	Fst	Slc6a15
Arfgef3	Gm2897	Trhde
Myb	D830030K20Rik	Wif1
Sgk1	ENSMUSG00000096793	Slc16a7
4930444G20Rik	Gm5796	Lrig3
Eya4	ENSMUSG00000091563	Kif5a
Ccn2	ENSMUSG00000079391	Lrp1
Ptprk	ENSMUSG00000091418	Suox
Nkain2	Gm3173	Emid1
Trdn	ENSMUSG00000090707	Gm11992
Clvs2	ENSMUSG00000091275	Ikzf1
Rsph4a	ENSMUSG00000091568	Cobl
Trappc3l	Gm3696	Efemp1
Fig4	Gm10406	ENSMUSG00000073052
Ak9	Gm3696	Slit3
Zbtb24	Gm3558	Sgcd
Mical1	Fhit	Irf1
Smpd2	Gm2237	Slc22a4
Ppil6	Nid2	Pdlim4
Grik2	Wdfy4	Gpx3
Serinc1	Fam25c	Tnip1
Pkib	Sncg	Anxa6
Smpdl3a	Cdhr1	Ccdc69
Chst3	Gm2832	Slc36a3
Slc29a3	1700024B05Rik	Fat2
Nodal	Gm9732	Gria1
Srgn	Gm46479	Fam183b
Tet1	Ptger2	H2bu2
Pbld1	Zfhx2	Kcnj12
Mypn	Tdh	Fbxw10
Cabcoco1	Dock5	Myocd
Mrln	Tnfsf11	Myh13
Pcdh15	Klf5	Pik3r6
Aire	Gm5089	Gucy2e
Dnmt3l	Zic5	Sat2
Pdxk	Zic2	Zbtb4
Vmn2r82	Fgf14	Chrnb1
C2cd4c	Ugt3a2	Ybx2
Misp	Cdh18	Alox12e
Gadd45b	Kcns2	Xaf1
Rfx4	Dpys	Smtnl2
Bpifc	Zfpm2	Spns3
1700113H08Rik	Angpt1	Rflnb
Mybpc1	Sntb1	Sez6
Spic	Myc	Rab11fip4
Ano4	Hhla1	Adap2
Hal	Adgrb1	Rnf135
Mgat4c	Mroh4	Asic2
Slc6a15	Cacng2	Ypel2
Ptprq	ENSMUSG00000116283	Rad51c
Pawr	Grap2	Tspoap1
Syt1	Rapgef3	Elobl
Csrp2	Hdac7	Ankfn1
Trhde	Rarg	Hlf
Irak3	Sp7	Mycbpap
Lrig3	Kng2	Calcoco2
March9	Masp1	Ttll6
Dtx3	Apod	Copz2
Pip4k2c	Meltf	Srcin1
Kif5a	Adcy5	Thra
Arhgap9	Sema5b	Nags
Gli1	Cd200	Adam11
Lrp1	Myh15	Wnt9b
Sdr9c7	Htr1f	Wnt3
Baz2a	Cadm2	Cacng4
Vmn2r84	Samsn1	Cacng5
Ankrd36	Ncam2	Apoh
Camk2b	Jam2	Arsg
Adcy1	Grik1	Wipi1
Upp1	Hunk	Map2k6
Abca13	Dscam	Trim47
Vwc2	T	Timp2
