DOX_TAM	DOX	TAM
Slco5a1	Myl1	Rgs20
Sema4c	Igfbp5	Sulf1
Fhl2	Pam	Slco5a1
Slc40a1	Tmem163	Sema4c
Nab1	Atp2b4	Vwa3b
Cdk15	Kcnh1	Aff3
Fzd7	Sertad4	Map4k4
Nrp2	Hebp2	Fhl2
Wnt6	Taar2	Slc40a1
Ptprn	Cd24a	Nab1
Des	Unc5b	Cdk15
Chpf	Kitl	Fzd7
Ap1s3	Slc22a4	Nrp2
Ccl20	Trim58	Adam23
Pid1	Rasd1	Catip
Dner	Rflnb	Wnt6
Arl4c	Mmp28	Wnt10a
Gbx2	Cd300a	Tuba4a
Lrrfip1	Sox11	A630095N17Rik
Per2	Dact1	Ptprn
St8sia4	Hspa2	Asic4
Tmem37	Flvcr2	Chpf
C4bp	Bcl11b	Ap1s3
ENSMUSG00000101904	Rbm24	Ccl20
AA986860	Ninj1	Pid1
Ikbke	Gadd45g	B3gnt7
Slc26a9	Diras2	Nppc
Klhdc8a	Serf1	Gbx2
Nfasc	Itga1	St8sia4
Sox13	Vstm4	Serpinb8
Adora1	Selenop	En1
Lgr6	Tmem74	ENSMUSG00000101904
Tnni1	Cdc42ep1	Ikbke
Lad1	Pdgfb	Fam72a
Zfp281	Fignl2	Slc26a9
Lhx9	Lix1	Lemd1
Colgalt2	Cldn6	Klhdc8a
Ier5	Cdkn1a	Sox13
4930523C07Rik	Nfkbie	Mgat4f
Mpzl1	Gata6	Lgr6
Rcsd1	Nrep	Nav1
Fam78b	Hbegf	Lad1
Fcgr4	Pcdh1	Ptgs2
Fcgr3	Synpo	Fam129a
Cfap45	Cidea	Colgalt2
Kif26b	Rab3il1	Glul
Sccpdh	Dmrt1	Ier5
Tlr5	Dmrt3	Rcsd1
Pacc1	Gfra1	Dusp27
Ppp2r5a	C1ql3	Gpa33
Slc30a1	Aif1l	Mael
Rgs17	Frzb	Fcgr2b
ENSMUSG00000112307	Syt13	Fcgr4
Samd5	Alx4	Fcgr3
Stx11	Ebf4	Cfap45
Perp	Bmp2	Aim2
Slc35d3	Nol4l	Ifi206
Smlr1	Myh7b	1700016C15Rik
Arhgap18	Procr	Sccpdh
Sobp	ENSMUSG00000106062	Vmn1r1
Cd24a	F3	Capn2
Gja1	Gem	Tlr5
Ddit4	Ptgr1	Pacc1
Unc5b	Rasef	Ppp2r5a
Adamts14	Jun	Rgs17
Col13a1	A3galt2	Ulbp1
Reep3	Tinagl1	ENSMUSG00000112307
Egr2	Crybg2	Samd5
Rhobtb1	Slc30a2	Perp
Zwint	Iffo2	Slc35d3
Pofut2	Hs3st1	Eya4
Midn	Cpeb2	Enpp3
Pip5k1c	Cldn3	Samd3
Mfsd12	Cdx2	L3mbtl3
Tle6	Peg10	Arhgap18
Nuak1	Epha1	Themis
Dram1	Fam13a	Soga3
Elk3	Ccnd2	ENSMUSG00000110723
Socs2	Tnnt1	9330159F19Rik
Dusp6	Kctd15	Hint3
Kitl	Cebpa	Ncoa7
